00TI               20241203                                                                                   
0601TIA0N       20250101000630100000005000 0000000000001070   
0601TIA0N       20250101000635100000005000 0000000000001080   
0601TIA0N       20250101000640100000005000 0000000000001090   
0601TIA0N       20250101000645100000005000 0000000000001090   
0601TIA0N       20250101000650100000005000 0000000000001100   
0601TIA0N       20250101000655100000005000 0000000000001110   
0601TIA0N       20250101000660100000005000 0000000000001120   
0601TIA0N       20250101000665100000005000 0000000000001120   
0601TIA0N       20250101000670100000005000 0000000000001130   
0601TIA0N       20250101000675100000005000 0000000000001140   
0601TIA0N       20250101000680100000005000 0000000000001150   
0601TIA0N       20250101000685100000005000 0000000000001150   
0601TIA0N       20250101000690100000005000 0000000000001160   
0601TIA0N       20250101000695100000005000 0000000000001170   
0601TIA0N       20250101000700100000005000 0000000000001170   
0601TIA0N       20250101000705100000005000 0000000000001180   
0601TIA0N       20250101000710100000005000 0000000000001190   
0601TIA0N       20250101000715100000005000 0000000000001190   
0601TIA0N       20250101000720100000005000 0000000000001200   
0601TIA0N       20250101000725100000005000 0000000000001200   
0601TIA0N       20250101000730100000005000 0000000000001210   
0601TIA0N       20250101000735100000005000 0000000000001220   
0601TIA0N       20250101000740100000005000 0000000000001220   
0601TIA0N       20250101000745100000005000 0000000000001230   
0601TIA0N       20250101000750100000005000 0000000000001230   
0601TIA0N       20250101000755100000005000 0000000000001240   
0601TIA0N       20250101000760100000005000 0000000000001240   
0601TIA0N       20250101000765100000005000 0000000000001250   
0601TIA0N       20250101000770100000005000 0000000000001250   
0601TIA0N       20250101000775100000005000 0000000000001260   
0601TIA0N       20250101000780100000005000 0000000000001260   
0601TIA0N       20250101000785100000005000 0000000000001270   
0601TIA0N       20250101000790100000005000 0000000000001270   
0601TIA0N       20250101000795100000005000 0000000000001280   
0601TIA0N       20250101000800100000005000 0000000000001280   
0601TIA0N       20250101000805100000005000 0000000000001290   
0601TIA0N       20250101000810100000005000 0000000000001290   
0601TIA0N       20250101000815100000005000 0000000000001300   
0601TIA0N       20250101000820100000005000 0000000000001300   
0601TIA0N       20250101000825100000005000 0000000000001310   
0601TIA0N       20250101000830100000005000 0000000000001320   
0601TIA0N       20250101000835100000005000 0000000000001320   
0601TIA0N       20250101000840100000005000 0000000000001330   
0601TIA0N       20250101000845100000005000 0000000000001330   
0601TIA0N       20250101000850100000005000 0000000000001340   
0601TIA0N       20250101000855100000005000 0000000000001340   
0601TIA0N       20250101000860100000005000 0000000000001350   
0601TIA0N       20250101000865100000005000 0000000000001360   
0601TIA0N       20250101000870100000005000 0000000000001360   
0601TIA0N       20250101000875100000005000 0000000000001370   
0601TIA0N       20250101000880100000005000 0000000000001370   
0601TIA0N       20250101000885100000005000 0000000000001380   
0601TIA0N       20250101000890100000005000 0000000000001380   
0601TIA0N       20250101000895100000005000 0000000000001390   
0601TIA0N       20250101000900100000005000 0000000000001390   
0601TIA0N       20250101000905100000005000 0000000000001400   
0601TIA0N       20250101000910100000005000 0000000000001400   
0601TIA0N       20250101000915100000005000 0000000000001410   
0601TIA0N       20250101000920100000005000 0000000000001410   
0601TIA0N       20250101000925100000005000 0000000000001420   
0601TIA0N       20250101000930100000005000 0000000000001430   
0601TIA0N       20250101000935100000005000 0000000000001430   
0601TIA0N       20250101000940100000005000 0000000000001440   
0601TIA0N       20250101000945100000005000 0000000000001440   
0601TIA0N       20250101000950100000005000 0000000000001450   
0601TIA0N       20250101000955100000005000 0000000000001450   
0601TIA0N       20250101000960100000005000 0000000000001460   
