00BE               20231130                                                                                   
0601BEA0N       20240101000610100000005000 0000000000001239   
0601BEA0N       20240101000615100000005000 0000000000001245   
0601BEA0N       20240101000620100000005000 0000000000001250   
0601BEA0N       20240101000625100000005000 0000000000001259   
0601BEA0N       20240101000630100000005000 0000000000001264   
0601BEA0N       20240101000635100000005000 0000000000001270   
0601BEA0N       20240101000640100000005000 0000000000001275   
0601BEA0N       20240101000645100000005000 0000000000001280   
0601BEA0N       20240101000650100000005000 0000000000001286   
0601BEA0N       20240101000655100000005000 0000000000001291   
0601BEA0N       20240101000660100000005000 0000000000001296   
0601BEA0N       20240101000665100000005000 0000000000001301   
0601BEA0N       20240101000670100000005000 0000000000001306   
0601BEA0N       20240101000675100000005000 0000000000001311   
0601BEA0N       20240101000680100000005000 0000000000001316   
0601BEA0N       20240101000685100000005000 0000000000001320   
0601BEA0N       20240101000690100000005000 0000000000001325   
0601BEA0N       20240101000695100000005000 0000000000001330   
0601BEA0N       20240101000700100000005000 0000000000001334   
0601BEA0N       20240101000705100000005000 0000000000001339   
0601BEA0N       20240101000710100000005000 0000000000001343   
0601BEA0N       20240101000715100000005000 0000000000001348   
0601BEA0N       20240101000720100000005000 0000000000001352   
0601BEA0N       20240101000725100000005000 0000000000001358   
0601BEA0N       20240101000730100000005000 0000000000001364   
0601BEA0N       20240101000735100000005000 0000000000001369   
0601BEA0N       20240101000740100000005000 0000000000001375   
0601BEA0N       20240101000745100000005000 0000000000001380   
0601BEA0N       20240101000750100000005000 0000000000001385   
0601BEA0N       20240101000755100000005000 0000000000001391   
0601BEA0N       20240101000760100000005000 0000000000001396   
0601BEA0N       20240101000765100000005000 0000000000001401   
0601BEA0N       20240101000770100000005000 0000000000001406   
0601BEA0N       20240101000775100000005000 0000000000001411   
0601BEA0N       20240101000780100000005000 0000000000001416   
0601BEA0N       20240101000785100000005000 0000000000001421   
0601BEA0N       20240101000790100000005000 0000000000001426   
0601BEA0N       20240101000795100000005000 0000000000001430   
0601BEA0N       20240101000800100000005000 0000000000001435   
0601BEA0N       20240101000805100000005000 0000000000001440   
0601BEA0N       20240101000810100000005000 0000000000001446   
0601BEA0N       20240101000815100000005000 0000000000001452   
0601BEA0N       20240101000820100000005000 0000000000001458   
0601BEA0N       20240101000825100000005000 0000000000001464   
0601BEA0N       20240101000830100000005000 0000000000001469   
0601BEA0N       20240101000835100000005000 0000000000001475   
0601BEA0N       20240101000840100000005000 0000000000001481   
0601BEA0N       20240101000845100000005000 0000000000001486   
0601BEA0N       20240101000850100000005000 0000000000001492   
0601BEA0N       20240101000855100000005000 0000000000001497   
0601BEA0N       20240101000860100000005000 0000000000001503   
0601BEA0N       20240101000865100000005000 0000000000001508   
0601BEA0N       20240101000870100000005000 0000000000001514   
0601BEA0N       20240101000875100000005000 0000000000001519   
0601BEA0N       20240101000880100000005000 0000000000001525   
0601BEA0N       20240101000885100000005000 0000000000001530   
0601BEA0N       20240101000890100000005000 0000000000001536   
0601BEA0N       20240101000895100000005000 0000000000001541   
0601BEA0N       20240101000900100000005000 0000000000001546   
0601BEA0N       20240101000905100000005000 0000000000001551   
0601BEA0N       20240101000910100000005000 0000000000001556   
0601BEA0N       20240101000915100000005000 0000000000001562   
0601BEA0N       20240101000920100000005000 0000000000001567   
0601BEA0N       20240101000925100000005000 0000000000001571   
0601BEA0N       20240101000930100000005000 0000000000001576   
0601BEA0N       20240101000935100000005000 0000000000001581   
0601BEA0N       20240101000940100000005000 0000000000001588   
0601BEA0N       20240101000945100000005000 0000000000001593   
0601BEA0N       20240101000950100000005000 0000000000001597   
0601BEA0N       20240101000955100000005000 0000000000001602   
0601BEA0N       20240101000960100000005000 0000000000001607   
0601BEA0N       20240101000965100000005000 0000000000001611   
0601BEA0N       20240101000970100000005000 0000000000001616   
0601BEA0N       20240101000975100000005000 0000000000001620   
0601BEA0N       20240101000980100000005000 0000000000001625   
0601BEA0N       20240101000985100000005000 0000000000001630   
0601BEA0N       20240101000990100000005000 0000000000001636   
0601BEA0N       20240101000995100000005000 0000000000001641   
0601BEA0N       20240101001000100000005000 0000000000001646   
0601BEA0N       20240101001005100000005000 0000000000001652   
0601BEA0N       20240101001010100000005000 0000000000001657   
0601BEA0N       20240101001015100000005000 0000000000001662   
0601BEA0N       20240101001020100000005000 0000000000001667   
0601BEA0N       20240101001025100000005000 0000000000001672   
0601BEA0N       20240101001030100000005000 0000000000001677   
0601BEA0N       20240101001035100000005000 0000000000001682   
0601BEA0N       20240101001040100000005000 0000000000001687   
0601BEA0N       20240101001045100000005000 0000000000001692   
0601BEA0N       20240101001050100000005000 0000000000001697   
0601BEA0N       20240101001055100000005000 0000000000001702   
0601BEA0N       20240101001060100000005000 0000000000001707   
0601BEA0N       20240101001065100000005000 0000000000001712   
0601BEA0N       20240101001070100000005000 0000000000001716   
0601BEA0N       20240101001075100000005000 0000000000001721   
0601BEA0N       20240101001080100000005000 0000000000001725   
0601BEA0N       20240101001085100000005000 0000000000001730   
0601BEA0N       20240101001090100000005000 0000000000001735   
0601BEA0N       20240101001095100000005000 0000000000001739   
0601BEA0N       20240101001100100000005000 0000000000001743   
0601BEA0N       20240101001105100000005000 0000000000001748   
0601BEA0N       20240101001110100000005000 0000000000001752   
0601BEA0N       20240101001115100000005000 0000000000001757   
0601BEA0N       20240101001120100000005000 0000000000001761   
0601BEA0N       20240101001125100000005000 0000000000001767   
0601BEA0N       20240101001130100000005000 0000000000001772   
0601BEA0N       20240101001135100000005000 0000000000001777   
0601BEA0N       20240101001140100000005000 0000000000001782   
0601BEA0N       20240101001145100000005000 0000000000001787   
0601BEA0N       20240101001150100000005000 0000000000001794   
0601BEA0N       20240101001155100000005000 0000000000001799   
0601BEA0N       20240101001160100000005000 0000000000001804   
0601BEA0N       20240101001165100000005000 0000000000001809   
0601BEA0N       20240101001170100000005000 0000000000001814   
0601BEA0N       20240101001175100000005000 0000000000001820   
0601BEA0N       20240101001180100000005000 0000000000001825   
0601BEA0N       20240101001185100000005000 0000000000001829   
0601BEA0N       20240101001190100000005000 0000000000001834   
0601BEA0N       20240101001195100000005000 0000000000001839   
0601BEA0N       20240101001200100000005000 0000000000001845   
0601BEA0N       20240101001205100000005000 0000000000001849   
0601BEA0N       20240101001210100000005000 0000000000001854   
0601BEA0N       20240101001215100000005000 0000000000001858   
0601BEA0N       20240101001220100000005000 0000000000001863   
0601BEA0N       20240101001225100000005000 0000000000001869   
0601BEA0N       20240101001230100000005000 0000000000001873   
0601BEA0N       20240101001235100000005000 0000000000001877   
0601BEA0N       20240101001240100000005000 0000000000001882   
0601BEA0N       20240101001245100000005000 0000000000001888   
0601BEA0N       20240101001250100000005000 0000000000001892   
0601BEA0N       20240101001255100000005000 0000000000001897   
0601BEA0N       20240101001260100000005000 0000000000001903   
0601BEA0N       20240101001265100000005000 0000000000001907   
0601BEA0N       20240101001270100000005000 0000000000001912   
0601BEA0N       20240101001275100000005000 0000000000001918   
0601BEA0N       20240101001280100000005000 0000000000001922   
0601BEA0N       20240101001285100000005000 0000000000001926   
0601BEA0N       20240101001290100000005000 0000000000001932   
0601BEA0N       20240101001295100000005000 0000000000001936   
0601BEA0N       20240101001300100000005000 0000000000001940   
0601BEA0N       20240101001305100000005000 0000000000001946   
0601BEA0N       20240101001310100000005000 0000000000001950   
0601BEA0N       20240101001315100000005000 0000000000001954   
0601BEA0N       20240101001320100000005000 0000000000001960   
0601BEA0N       20240101001325100000005000 0000000000001964   
0601BEA0N       20240101001330100000005000 0000000000001967   
0601BEA0N       20240101001335100000005000 0000000000001973   
0601BEA0N       20240101001340100000005000 0000000000001977   
0601BEA0N       20240101001345100000005000 0000000000001981   
0601BEA0N       20240101001350100000005000 0000000000001984   
0601BEA0N       20240101001355100000005000 0000000000001990   
0601BEA0N       20240101001360100000005000 0000000000001994   
0601BEA0N       20240101001365100000005000 0000000000001997   
0601BEA0N       20240101001370100000005000 0000000000002003   
0601BEA0N       20240101001375100000005000 0000000000002006   
0601BEA0N       20240101001380100000005000 0000000000002010   
0601BEA0N       20240101001385100000005000 0000000000002015   
0601BEA0N       20240101001390100000005000 0000000000002018   
0601BEA0N       20240101001395100000005000 0000000000002022   
0601BEA0N       20240101001400100000005000 0000000000002027   
0601BEA0N       20240101001405100000005000 0000000000002031   
0601BEA0N       20240101001410100000005000 0000000000002034   
0601BEA0N       20240101001415100000005000 0000000000002039   
0601BEA0N       20240101001420100000005000 0000000000002042   
0601BEA0N       20240101001425100000005000 0000000000002046   
0601BEA0N       20240101001430100000005000 0000000000002051   
0601BEA0N       20240101001435100000005000 0000000000002055   
0601BEA0N       20240101001440100000005000 0000000000002059   
0601BEA0N       20240101001445100000005000 0000000000002064   
0601BEA0N       20240101001450100000005000 0000000000002068   
0601BEA0N       20240101001455100000005000 0000000000002072   
0601BEA0N       20240101001460100000005000 0000000000002077   
0601BEA0N       20240101001465100000005000 0000000000002081   
0601BEA0N       20240101001470100000005000 0000000000002085   
0601BEA0N       20240101001475100000005000 0000000000002090   
0601BEA0N       20240101001480100000005000 0000000000002094   
0601BEA0N       20240101001485100000005000 0000000000002098   
0601BEA0N       20240101001490100000005000 0000000000002101   
0601BEA0N       20240101001495100000005000 0000000000002107   
0601BEA0N       20240101001500100000005000 0000000000002111   
0601BEA0N       20240101001505100000005000 0000000000002114   
0601BEA0N       20240101001510100000005000 0000000000002120   
0601BEA0N       20240101001515100000005000 0000000000002123   
0601BEA0N       20240101001520100000005000 0000000000002127   
0601BEA0N       20240101001525100000005000 0000000000002132   
0601BEA0N       20240101001530100000005000 0000000000002136   
0601BEA0N       20240101001535100000005000 0000000000002140   
0601BEA0N       20240101001540100000005000 0000000000002145   
0601BEA0N       20240101001545100000005000 0000000000002148   
0601BEA0N       20240101001550100000005000 0000000000002152   
0601BEA0N       20240101001555100000005000 0000000000002157   
0601BEA0N       20240101001560100000005000 0000000000002160   
0601BEA0N       20240101001565100000005000 0000000000002164   
0601BEA0N       20240101001570100000005000 0000000000002169   
0601BEA0N       20240101001575100000005000 0000000000002172   
0601BEA0N       20240101001580100000005000 0000000000002176   
0601BEA0N       20240101001585100000005000 0000000000002181   
0601BEA0N       20240101001590100000005000 0000000000002184   
0601BEA0N       20240101001595100000005000 0000000000002187   
0601BEA0N       20240101001600100000005000 0000000000002192   
0601BEA0N       20240101001605100000005000 0000000000002195   
0601BEA0N       20240101001610100000005000 0000000000002199   
0601BEA0N       20240101001615100000005000 0000000000002203   
0601BEA0N       20240101001620100000005000 0000000000002207   
0601BEA0N       20240101001625100000005000 0000000000002210   
0601BEA0N       20240101001630100000005000 0000000000002214   
0601BEA0N       20240101001635100000005000 0000000000002218   
0601BEA0N       20240101001640100000005000 0000000000002221   
0601BEA0N       20240101001645100000005000 0000000000002224   
0601BEA0N       20240101001650100000005000 0000000000002228   
0601BEA0N       20240101001655100000005000 0000000000002232   
0601BEA0N       20240101001660100000005000 0000000000002235   
0601BEA0N       20240101001665100000005000 0000000000002239   
0601BEA0N       20240101001670100000005000 0000000000002242   
0601BEA0N       20240101001675100000005000 0000000000002245   
0601BEA0N       20240101001680100000005000 0000000000002249   
0601BEA0N       20240101001685100000005000 0000000000002252   
0601BEA0N       20240101001690100000005000 0000000000002255   
0601BEA0N       20240101001695100000005000 0000000000002260   
0601BEA0N       20240101001700100000005000 0000000000002263   
0601BEA0N       20240101001705100000005000 0000000000002266   
0601BEA0N       20240101001710100000005000 0000000000002270   
0601BEA0N       20240101001715100000005000 0000000000002273   
0601BEA0N       20240101001720100000005000 0000000000002276   
0601BEA0N       20240101001725100000005000 0000000000002280   
0601BEA0N       20240101001730100000005000 0000000000002282   
0601BEA0N       20240101001735100000005000 0000000000002285   
0601BEA0N       20240101001740100000005000 0000000000002290   
0601BEA0N       20240101001745100000005000 0000000000002293   
0601BEA0N       20240101001750100000005000 0000000000002296   
0601BEA0N       20240101001755100000005000 0000000000002300   
0601BEA0N       20240101001760100000005000 0000000000002303   
0601BEA0N       20240101001765100000005000 0000000000002305   
0601BEA0N       20240101001770100000005000 0000000000002310   
0601BEA0N       20240101001775100000005000 0000000000002312   
0601BEA0N       20240101001780100000005000 0000000000002315   
0601BEA0N       20240101001785100000005000 0000000000002318   
0601BEA0N       20240101001790100000005000 0000000000002322   
0601BEA0N       20240101001795100000005000 0000000000002325   
0601BEA0N       20240101001800100000005000 0000000000002328   
0601BEA0N       20240101001805100000005000 0000000000002332   
0601BEA0N       20240101001810100000005000 0000000000002334   
0601BEA0N       20240101001815100000005000 0000000000002337   
0601BEA0N       20240101001820100000005000 0000000000002341   
0601BEA0N       20240101001825100000005000 0000000000002344   
0601BEA0N       20240101001830100000005000 0000000000002346   
0601BEA0N       20240101001835100000005000 0000000000002350   
0601BEA0N       20240101001840100000005000 0000000000002354   
0601BEA0N       20240101001845100000005000 0000000000002357   
0601BEA0N       20240101001850100000005000 0000000000002361   
0601BEA0N       20240101001855100000005000 0000000000002364   
0601BEA0N       20240101001860100000005000 0000000000002367   
0601BEA0N       20240101001865100000005000 0000000000002371   
0601BEA0N       20240101001870100000005000 0000000000002375   
0601BEA0N       20240101001875100000005000 0000000000002378   
0601BEA0N       20240101001880100000005000 0000000000002382   
0601BEA0N       20240101001885100000005000 0000000000002385   
0601BEA0N       20240101001890100000005000 0000000000002388   
0601BEA0N       20240101001895100000005000 0000000000002392   
0601BEA0N       20240101001900100000005000 0000000000002395   
0601BEA0N       20240101001905100000005000 0000000000002398   
0601BEA0N       20240101001910100000005000 0000000000002402   
0601BEA0N       20240101001915100000005000 0000000000002405   
0601BEA0N       20240101001920100000005000 0000000000002408   
0601BEA0N       20240101001925100000005000 0000000000002412   
0601BEA0N       20240101001930100000005000 0000000000002415   
0601BEA0N       20240101001935100000005000 0000000000002417   
0601BEA0N       20240101001940100000005000 0000000000002420   
0601BEA0N       20240101001945100000005000 0000000000002424   
0601BEA0N       20240101001950100000005000 0000000000002427   
0601BEA0N       20240101001955100000005000 0000000000002430   
0601BEA0N       20240101001960100000005000 0000000000002434   
0601BEA0N       20240101001965100000005000 0000000000002436   
0601BEA0N       20240101001970100000005000 0000000000002439   
0601BEA0N       20240101001975100000005000 0000000000002443   
0601BEA0N       20240101001980100000005000 0000000000002446   
0601BEA0N       20240101001985100000005000 0000000000002449   
0601BEA0N       20240101001990100000005000 0000000000002453   
0601BEA0N       20240101001995100000005000 0000000000002455   
0601BEA0N       20240101002000100000005000 0000000000002458   
0601BEA0N       20240101002005100000005000 0000000000002462   
0601BEA0N       20240101002010100000005000 0000000000002465   
0601BEA0N       20240101002015100000005000 0000000000002467   
0601BEA0N       20240101002020100000005000 0000000000002471   
0601BEA0N       20240101002025100000005000 0000000000002474   
0601BEA0N       20240101002030100000005000 0000000000002476   
0601BEA0N       20240101002035100000005000 0000000000002480   
0601BEA0N       20240101002040100000005000 0000000000002483   
0601BEA0N       20240101002045100000005000 0000000000002485   
0601BEA0N       20240101002050100000005000 0000000000002489   
0601BEA0N       20240101002055100000005000 0000000000002492   
0601BEA0N       20240101002060100000005000 0000000000002494   
0601BEA0N       20240101002065100000005000 0000000000002498   
0601BEA0N       20240101002070100000005000 0000000000002501   
0601BEA0N       20240101002075100000005000 0000000000002503   
0601BEA0N       20240101002080100000005000 0000000000002506   
0601BEA0N       20240101002085100000005000 0000000000002509   
0601BEA0N       20240101002090100000005000 0000000000002512   
0601BEA0N       20240101002095100000005000 0000000000002514   
0601BEA0N       20240101002100100000005000 0000000000002518   
0601BEA0N       20240101002105100000005000 0000000000002520   
0601BEA0N       20240101002110100000005000 0000000000002523   
0601BEA0N       20240101002115100000005000 0000000000002526   
0601BEA0N       20240101002120100000005000 0000000000002529   
0601BEA0N       20240101002125100000005000 0000000000002531   
0601BEA0N       20240101002130100000005000 0000000000002535   
0601BEA0N       20240101002135100000005000 0000000000002537   
0601BEA0N       20240101002140100000005000 0000000000002539   
0601BEA0N       20240101002145100000005000 0000000000002543   
0601BEA0N       20240101002150100000005000 0000000000002545   
0601BEA0N       20240101002155100000005000 0000000000002547   
0601BEA0N       20240101002160100000005000 0000000000002551   
0601BEA0N       20240101002165100000005000 0000000000002553   
0601BEA0N       20240101002170100000005000 0000000000002555   
0601BEA0N       20240101002175100000005000 0000000000002559   
0601BEA0N       20240101002180100000005000 0000000000002561   
0601BEA0N       20240101002185100000005000 0000000000002563   
0601BEA0N       20240101002190100000005000 0000000000002567   
0601BEA0N       20240101002195100000005000 0000000000002569   
0601BEA0N       20240101002200100000005000 0000000000002571   
0601BEA0N       20240101002205100000005000 0000000000002574   
0601BEA0N       20240101002210100000005000 0000000000002577   
0601BEA0N       20240101002215100000005000 0000000000002579   
0601BEA0N       20240101002220100000005000 0000000000002581   
0601BEA0N       20240101002225100000005000 0000000000002584   
0601BEA0N       20240101002230100000005000 0000000000002586   
0601BEA0N       20240101002235100000005000 0000000000002588   
0601BEA0N       20240101002240100000005000 0000000000002592   
0601BEA0N       20240101002245100000005000 0000000000002594   
0601BEA0N       20240101002250100000005000 0000000000002596   
0601BEA0N       20240101002255100000005000 0000000000002599   
0601BEA0N       20240101002260100000005000 0000000000002601   
0601BEA0N       20240101002265100000005000 0000000000002603   
0601BEA0N       20240101002270100000005000 0000000000002606   
